Flight_number,Leg_no,Dep_airport_code,Arr_airport_code,Scheduled_dep_time,Scheduled_arr_time
DL3009,1,CLT,SEA,14:05:00,17:35:00
DL3011,1,PHL,LGA,17:40:00,19:15:00
DL3011,2,LGA,ORD,20:13:00,22:33:00
DL3012,1,LGA,DFW,08:55:00,10:00:00
DL3012,2,DFW,LGA,10:56:00,14:26:00
DL3013,1,DEN,MSP,20:55:00,01:55:00
DL3015,1,MIA,MSP,12:20:00,16:20:00
DL3015,2,MSP,FLL,17:02:00,19:42:00
DL3016,1,MSP,TPA,07:05:00,08:10:00
DL3017,1,SEA,HNL,12:55:00,14:10:00
DL3020,1,AUS,SEA,17:35:00,21:35:00
DL3022,1,YYZ,DTW,06:25:00,07:50:00
DL3024,1,DEN,LGA,11:00:00,13:40:00
DL3025,1,SEA,MDW,20:20:00,22:25:00
DL3029,1,DTW,JFK,18:05:00,22:05:00
DL3030,1,PHX,SEA,15:05:00,17:25:00
DL3031,1,DTW,FLL,19:45:00,22:05:00
DL3032,1,YVR,PHL,19:00:00,20:25:00
DL3033,1,SEA,MSP,06:05:00,08:45:00
DL3034,1,LGA,DEN,12:50:00,16:20:00
DL3034,2,DEN,LGA,17:18:00,19:23:00
DL3036,1,LGA,DTW,12:05:00,15:05:00
DL3036,2,DTW,LGA,15:41:00,20:41:00
DL3037,1,HNL,LGA,08:20:00,10:25:00
DL3038,1,EWR,FLL,20:15:00,21:50:00
DL3040,2,ATL,SFO,00:17:00,01:42:00
DL3040,3,SFO,ATL,02:29:00,06:29:00
DL3042,1,HNL,LGA,07:10:00,09:30:00
DL3042,2,LGA,DAL,10:25:00,11:40:00
DL3043,1,SAN,LGA,09:40:00,10:55:00
DL3044,1,SEA,LAS,14:10:00,15:45:00
DL3044,2,LAS,SEA,16:30:00,20:30:00
DL3045,1,PHL,MSP,11:50:00,15:20:00
DL3045,2,MSP,MEX,16:30:00,17:35:00
DL3046,1,MSP,MDW,07:40:00,10:00:00
DL3047,1,SEA,PHX,15:45:00,19:45:00
DL3048,1,JFK,DEN,13:50:00,15:25:00
DL3049,1,SEA,DFW,20:50:00,23:30:00
DL3050,1,FLL,DTW,12:50:00,17:20:00
DL3051,1,DTW,LAX,06:10:00,09:40:00
DL3052,1,TPA,SAN,11:25:00,13:15:00
DL3053,1,MSP,IAD,21:40:00,23:45:00
DL3053,2,IAD,MCO,00:26:00,03:06:00
DL3053,3,MCO,MSP,04:01:00,05:16:00
DL3054,1,LAS,LGA,12:10:00,14:15:00
DL3054,2,LGA,SAN,14:56:00,20:16:00
DL3057,1,BNA,FLL,20:00:00,21:15:00
DL3058,1,LGA,EWR,06:00:00,09:00:00
DL3058,2,EWR,LGA,09:53:00,11:43:00
DL3059,1,TPA,SEA,05:05:00,06:55:00
DL3060,1,MEX,MSP,17:25:00,18:50:00
DL3061,1,ORD,LGA,07:30:00,09:20:00
DL3062,1,BOS,SEA,17:25:00,19:45:00
DL3062,2,SEA,CLT,20:41:00,01:41:00
DL3063,1,DTW,SFO,21:30:00,23:20:00
DL3065,1,HNL,LGA,09:45:00,12:25:00
DL3067,1,DTW,HNL,21:40:00,02:10:00
DL3068,1,FLL,SEA,16:25:00,18:00:00
DL3068,2,SEA,DFW,18:42:00,23:12:00
DL3070,1,IAH,SEA,20:10:00,22:15:00
DL3071,1,SEA,DEN,11:00:00,15:00:00
DL3071,2,DEN,DAL,16:03:00,17:53:00
DL3071,3,DAL,SEA,18:48:00,23:18:00
DL3072,1,IAD,MSP,21:45:00,00:45:00
DL3072,2,MSP,DCA,01:50:00,03:40:00
DL3073,1,MSP,BNA,15:10:00,16:25:00
DL3073,2,BNA,MSP,17:29:00,19:04:00
DL3075,1,DTW,IAH,14:20:00,15:35:00
DL3076,1,LGA,YYC,14:05:00,15:20:00
DL3076,2,YYC,LGA,16:31:00,18:06:00
DL3077,1,LGA,MIA,06:20:00,08:40:00
DL3077,2,MIA,FLL,09:20:00,10:35:00
DL3078,1,LGA,SFO,13:40:00,17:40:00
DL3078,2,SFO,MDW,18:32:00,22:32:00
DL3080,1,IAH,MSP,08:30:00,13:00:00
DL3082,2,LGA,MSP,12:16:00,14:56:00
DL3084,1,FLL,ATL,15:20:00,17:40:00
DL3090,1,DTW,ATL,13:30:00,15:50:00
DL3091,1,BOS,LGA,13:50:00,15:55:00
DL3092,1,LAS,ATL,17:50:00,22:50:00
DL3092,2,ATL,PHX,23:57:00,03:57:00
DL3094,1,LGA,TPA,16:30:00,17:55:00
DL3096,1,CUN,SEA,08:00:00,09:15:00
DL3097,1,SFO,DAL,09:10:00,12:10:00
DL3099,1,LGA,SAN,19:10:00,23:40:00
DL3099,2,SAN,LGA,00:47:00,02:02:00
WN4003,1,TPA,DEN,14:30:00,16:35:00
WN4005,1,JFK,MDW,09:50:00,13:50:00
WN4006,2,DAL,DFW,18:44:00,20:49:00
WN4010,1,DEN,PHX,06:15:00,08:05:00
WN4011,1,YVR,LAS,11:00:00,14:00:00
WN4013,2,MDW,BOS,13:42:00,18:12:00
WN4013,3,BOS,MDW,19:22:00,20:47:00
WN4014,1,DAL,IAD,14:30:00,19:30:00
WN4014,2,IAD,DCA,20:16:00,22:21:00
WN4014,3,DCA,DAL,23:30:00,01:35:00
WN4016,1,IAD,DCA,21:10:00,23:15:00
WN4018,1,LAS,JFK,11:00:00,13:20:00
WN4022,1,SAN,MDW,16:20:00,19:20:00
WN4023,1,YUL,MDW,19:05:00,22:35:00
WN4024,1,EWR,MDW,15:30:00,19:30:00
WN4025,1,PHX,DFW,18:20:00,22:20:00
WN4025,2,DFW,PHX,23:04:00,01:44:00
WN4028,1,SEA,MDW,20:10:00,23:40:00
WN4028,2,MDW,AUS,00:49:00,03:29:00
WN4029,1,PHX,ORD,09:50:00,14:20:00
WN4029,2,ORD,PHX,15:09:00,16:24:00
WN4029,3,PHX,DCA,17:03:00,21:03:00
WN4031,1,PHX,YUL,05:00:00,08:00:00
WN4033,1,PHX,HNL,10:05:00,15:25:00
WN4033,2,HNL,PHX,16:06:00,19:06:00
WN4034,1,DEN,AUS,16:20:00,19:50:00
WN4034,2,AUS,MEX,20:50:00,22:15:00
WN4035,1,BWI,MDW,12:55:00,16:55:00
WN4035,2,MDW,DAL,17:44:00,20:24:00
WN4038,1,BNA,DAL,08:40:00,11:00:00
WN4038,2,DAL,DTW,11:37:00,13:27:00
WN4039,1,DEN,MSP,06:05:00,09:05:00
WN4041,1,PHX,IAD,07:20:00,11:50:00
WN4042,1,YYZ,PHX,15:30:00,17:50:00
WN4043,1,DAL,ORD,08:30:00,11:10:00
WN4046,1,DCA,LAS,17:05:00,20:05:00
WN4047,1,YYZ,MDW,09:30:00,13:00:00
WN4049,1,YVR,MDW,13:05:00,14:10:00
WN4051,1,IAD,PHX,05:05:00,06:40:00
WN4052,1,PHX,FLL,17:05:00,20:35:00
WN4052,2,FLL,PHX,21:45:00,02:15:00
WN4053,1,HNL,PHX,17:10:00,22:10:00
WN4054,1,FLL,MDW,20:10:00,22:15:00
WN4055,1,DCA,DEN,18:20:00,19:45:00
WN4056,1,CUN,DAL,20:45:00,01:45:00
WN4056,2,DAL,YYZ,02:59:00,05:59:00
WN4057,1,LAS,MIA,14:00:00,16:40:00
WN4058,1,MDW,DTW,19:25:00,21:45:00
WN4060,1,LAS,SFO,17:25:00,19:30:00
WN4061,1,YYC,LAS,17:20:00,19:40:00
WN4061,2,LAS,DTW,20:40:00,00:40:00
WN4062,1,YYC,DAL,10:50:00,12:40:00
WN4063,1,SAN,EWR,19:20:00,21:10:00
WN4064,1,LAS,MIA,14:15:00,15:50:00
WN4069,1,DAL,PHX,19:25:00,22:55:00
WN4070,1,LAS,CLT,18:05:00,19:30:00
WN4070,2,CLT,FLL,20:12:00,21:47:00
WN4071,1,MDW,DTW,19:15:00,21:35:00
WN4073,1,LAX,LGA,06:55:00,08:00:00
WN4074,1,DTW,DAL,21:10:00,23:00:00
WN4076,1,DEN,YVR,17:00:00,22:00:00
WN4077,1,YVR,DEN,05:55:00,07:10:00
WN4077,2,DEN,BWI,07:58:00,09:48:00
WN4079,1,DEN,BOS,21:50:00,23:55:00
WN4079,2,BOS,DEN,00:50:00,03:50:00
WN4080,1,LAS,GDL,08:25:00,10:15:00
WN4081,1,PDX,PHX,14:45:00,16:00:00
WN4083,1,PHX,DAL,09:40:00,11:15:00
WN4084,1,GDL,LAS,17:30:00,19:20:00
WN4086,1,ATL,MDW,11:30:00,13:05:00
WN4086,2,MDW,MCO,14:15:00,19:15:00
WN4087,1,IAD,YUL,18:55:00,21:55:00
WN4088,2,LAS,MSP,18:44:00,23:14:00
WN4088,3,MSP,LAS,00:25:00,05:25:00
WN4089,1,PHX,LAS,06:55:00,08:30:00
WN4089,2,LAS,PHX,09:33:00,12:13:00
WN4089,3,PHX,MDW,13:22:00,16:22:00
WN4090,1,LAS,MEX,14:00:00,16:20:00
WN4093,1,EWR,DEN,10:25:00,12:45:00
WN4095,1,MDW,LGA,20:10:00,22:50:00
WN4095,2,LGA,YYZ,00:01:00,01:51:00
WN4095,3,YYZ,IAD,03:06:00,06:36:00
WN4097,1,LAS,SLC,19:35:00,21:00:00
WN4099,1,AUS,DAL,11:30:00,16:30:00
